Question,Answer
"Ek achi dictionary kharidein. Ye sirf aapko translations provide nahi karti balke aapko ye bhi batati hai ke kese aap ___ words pronounce karain.","unfamiliar"
"German mein  tamam nouns hamesha ___ huruf se likhe jaate hain.","baray"
"Yeh samajhna zaroori hai ke German mai gender ___ hota hai  biological nahi.","grammatical"
"German mein  aik noun jumlay ka mozoo ho sakta hai   yani '___' jo kisi kaam mein ho.","karta"
"Ich ___ (Mai chalta hoon) Er geht (Wo chalta hain)  Sie gehen (Ye chaltay hain).","gehe"
"German ki ek sab se zaroori ___ ye hai ke aap jumlay ke aik noun ka kirdar us k akhir aur article ke form se jan sakte hain.","khasiyat"
"Jab ap German ___ start kartai hain  to 'sie' word ke mukhtalif matlab apko confuse kar sakte hain.","seekhna"
"German mein sirf ek present tense hota hai  jo English ke simple aur continous present dono ko ___ hai.","darshata"
"Der Mann und die Frau arbeiten jeden Tag am ___ .","Computer"
"___ ka matlab ‘mother’ hota hai  lekin Mütter plural form hai aur iska matlab ‘mothers’ hota hai.","Mutter"
"German mai tamam noum ya to masculine  feminine ya ___ hotay hain.","neuter"
"German mein capital letters kab ___ hotay hain?","istemal"
"German zuban mein yeh bohat zaroori hai keh aap moamlaat ka sahih ___ jaanain.","tarteeb"
"Kya tum kal farigh ho? in German can be asked as  Hast Du ___ Zeit?","morgen"
"Ich kann morgen nicht kommen  weil ich nach ___ fahre.","Manchester"
"Agar do verb forms hoti hain  toh aik un mein se ___ mein jati hai.","akhir"
"Finite verb hamesha ___ jaga per aati hai taqreban tamam afraad mein.","doosri"
"Ist das ein Mann? (Kia wo ___ hain?)", "aadmi"
"Da drüben sehe ich einen Mann (Main wahan pe aik ___ ko dekh sakta hoon)", "aadmi"
"German adjectives jab wo aik sangya ke samnay hotay hain to unka kuch ___ hota hai", "pattern"
"Der Hund beißt den ___ (Kutta aadmi ko kaat raha hai)", "Mann"
"German mein yeh bohat zaroori hai keh aap ___ ka sahih tarteeb jaanain", "moamlaat"
"Finite verb hamesha ___ jaga per aati hai taqreban tamam afraad mein", "doosri"
"___ finite verb fiqra ke shuru mein orders aur bohat se sawalon mein ati hai", "Hamesha"
"Hast Du morgen Zeit? (Kya tum ___ farigh ho?)", "kal"
"Tenses hamesha ___ mein ate hain", "akhir"
"___ muss ich nach Manchester fahren, (Kal mujhe Manchester jaana hoga.)", "Morgen"
"Ich kann morgen nicht komme  weil ich nach ___ fahre. (Main kal nahi aa sakta kyunke mai wahan ja raha hoon.)", "Manchester"
"___ (Past tense) ya toh present perfect tense istemal hota hai jab kuch haal hi mein hua ho ya present se connection ho", "Mazi"
